Objective,Sample_Year,Date,Site,Plot,Team,Status,Core_collected,Well_placed,Hobos_placed,Notes,
Site Install,2022,8/27/2021,Brewers Bay,A,"Lila, Laura, Allison, Jenna, Kayla, Julia, Allie, Kristin, and Heather","Plot A started, still need to add tree tags, redo woody debris, record tree height, distance of tagged trees to center, and collect sediment core",,Y,Y,Short core collected at Brewer's Bay,
Site Install,2022,9/20/2021,Brewers Bay,B,"Allison, Kristin, Allie, Heather",Finished plot A and started plot B,,N,Y,,
Site Install,2022,9/21/2021,Brewers Bay,C,"Laura, Allison, Kayla, Kristin, Allie, Heather",Finished plots B and C,Y,N,Y,,
Site Install,2022,9/23/2021,Perseverance Bay,A,"Lila, Laura, Kayla, Kristin, Allie, Heather",Finished all 3 plots and collected 2 cores,Y,N,Y,,
Site Install,2022,9/23/2021,Perseverance Bay,B,"Lila, Laura, Kayla, Kristin, Allie, Heather",,Y,N,Y,,
Site Install,2022,9/23/2021,Perseverance Bay,C,"Lila, Laura, Kayla, Kristin, Allie, Heather",,N,N,Y,,
Site Install,2022,9/28/2021,Vessup Bay,A,"Laura, Kayla, Kristin, Heather",Finished plots A and B,Y,Y,Y,Both cores collected and well placed,
Site Install,2022,9/28/2021,Vessup Bay,B,"Laura, Kayla, Kristin, Heather",,Y,N,Y,,
Site Install,2022,9/30/2021,Vessup Bay,C,"Lila, Allison, Heather",Finished plot C,N,N,Y,,
Site Install,2022,10/1/2021,Mandahl Bay,A,"Laura, Lila, Kayla, Heather",Finished plots A and B,Y,Y,Y,Both cores collected and well placed,
Site Install,2022,10/1/2021,Mandahl Bay,B,"Laura, Lila, Kayla, Heather",,Y,N,Y,,
Site Install,2022,10/12/2021,Mandahl Bay,C,"Laura, Heather, Allie, and Kristin",Finished plot C and did ground truthing for Susan,N,N,Y,Moved the control hobo to rock pile,
Site Install,2022,10/14/2021,Compass Point,A,"Kayla, Laura, Lila, Allie, Kristin, and Heather",Finished all 3 plots and collected 2 cores,Y,N,Y,,
Site Install,2022,10/14/2021,Compass Point,B,"Kayla, Laura, Lila, Allie, Kristin, and Heather",,Y,N,Y,,
Site Install,2022,10/14/2021,Compass Point,C,"Kayla, Laura, Lila, Allie, Kristin, and Heather",,N,N,Y,,
Site Install,2022,10/15/2021,STEER Fringe,A,"Kayla, Laura, Lila, Allie, Kristin, Heather, and Karrin",Finished plots A and B,Y,Y,Y,Both cores collected and well placed,
Site Install,2022,10/15/2021,STEER Fringe,B,"Kayla, Laura, Lila, Allie, Kristin, Heather, and Karrin",,Y,N,Y,,
Site Install,2022,10/19/2021,STEER Fringe,C,"Kayla, Allie, Kristin, Heather, and Sierrah",Finished plots Fringe C and Basin A,Y,N,Y,"Collected cores from both sites, plot D has multiple old wells that we can clean and add a levelogger to",
