SY,Date,Site,Plot,Quadrat,Water_depth_cm,Tall_seedling_cm,Tall_seedling_sp,Tall_sapling_cm,Tall_sapling_sp,MD_cover,RHMA_props_roots,RHMA_props_noroots,RHMA_propagules,RHMA_seedlings,RHMA_saplings,LARA_props_roots,LARA_props_noroots,LARA_propagules,LARA_seedlings,LARA_saplings,AVGE_props_roots,AVGE_props_noroots,AVGE_propagules,AVGE_seedlings,AVGE_saplings,Total_saplings,Notes
2022,9/20/2021,Brewers Bay,A,East,22,0,,0,,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022,9/20/2021,Brewers Bay,A,North,0,5.1,LARA,0,,none,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
2022,9/20/2021,Brewers Bay,A,South,53,0,,0,,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022,9/20/2021,Brewers Bay,A,West,10.8,49.6,LARA,250,LARA,none,0,2,2,0,0,0,20,20,7,2,0,0,0,0,0,2,
2022,9/21/2021,Brewers Bay,B,East,0.5,14.8,LARA,0,,none,0,0,0,0,0,34,354,388,281,0,0,0,0,0,0,0,
2022,9/21/2021,Brewers Bay,B,North,1,11.1,LARA,0,,none,0,0,0,0,0,23,4,27,35,0,0,0,0,0,0,0,
2022,9/21/2021,Brewers Bay,B,South,0.5,12.2,LARA,0,,none,0,0,0,0,0,39,52,91,267,0,0,0,0,0,0,0,
2022,9/21/2021,Brewers Bay,B,West,8.5,1.8,LARA,0,,none,1,1,2,0,0,1,8,9,1,0,0,0,0,0,0,0,
2022,9/21/2021,Brewers Bay,C,East,0,46.5,LARA,174,LARA,none,9,0,9,4,4,6,1,7,0,0,0,0,0,0,0,4,
2022,9/21/2021,Brewers Bay,C,North,7,45.9,LARA,79.3,LARA,none,4,3,7,8,10,0,4,4,2,0,0,0,0,0,0,10,
2022,9/21/2021,Brewers Bay,C,South,0,11.1,LARA,8.1,LARA,none,3,8,11,0,10,0,6,6,1,0,0,0,0,0,0,10,
2022,9/21/2021,Brewers Bay,C,West,0,49,RHMA,102.3,RHMA,none,2,10,12,9,19,0,77,77,0,0,0,0,0,0,0,19,
2022,10/14/2021,Compass Point,A,East,2.7,47,RHMA,81.6,RHMA,none,5,1,6,12,6,0,0,0,0,0,0,0,0,0,0,6,
2022,10/14/2021,Compass Point,A,North,5.6,0,,300,RHMA,none,1,1,2,0,3,0,0,0,0,0,0,0,0,0,0,3,
2022,10/14/2021,Compass Point,A,South,1.7,49.9,RHMA,175.2,RHMA,none,4,1,5,21,10,0,0,0,0,0,0,0,0,0,0,10,
2022,10/14/2021,Compass Point,A,West,0.5,49.9,RHMA,123.9,RHMA,none,1,1,2,1,8,0,0,0,0,0,0,0,0,0,0,8,
2022,10/14/2021,Compass Point,B,East,4.4,36,RHMA,102.5,RHMA,none,2,0,2,4,1,0,0,0,0,0,0,0,0,0,0,1,
2022,10/14/2021,Compass Point,B,North,5.5,0,,0,,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022,10/14/2021,Compass Point,B,South,4.3,41.5,RHMA,128,RHMA,none,1,0,1,1,9,0,0,0,0,0,0,0,0,0,0,9,
2022,10/14/2021,Compass Point,B,West,9.5,13,AVGE,0,,none,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2022,10/14/2021,Compass Point,C,East,9.3,32.3,AVGE,183,AVGE,none,0,0,0,0,0,1,0,1,0,2,1,0,1,1,6,8,sapling data adjusted according to sapling sheet
2022,10/14/2021,Compass Point,C,North,12.6,41.4,AVGE,79.5,AVGE,none,0,0,0,0,0,3,0,3,0,0,0,1,1,1,1,1,sapling data adjusted according to sapling sheet
2022,10/14/2021,Compass Point,C,South,6.7,33.1,AVGE,0,,none,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,sapling data adjusted according to sapling sheet
2022,10/14/2021,Compass Point,C,West,16.3,0,,0,,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sapling data adjusted according to sapling sheet
2022,10/28/2021,Francis Bay,A,East,0,5.6,LARA,0,,none,0,0,0,0,0,11,78,89,11,0,0,0,0,0,0,0,"N QUAD: 1 maho seedling 5.4. S QUAD: huge land crab hole, 5 maho seedlings (tallest 4.9).     deer tracks all over. "
2022,10/28/2021,Francis Bay,A,North,0,5.4,RHMA,0,,none,0,0,0,1,0,0,18,18,0,0,0,0,0,0,0,0,"N QUAD: 1 maho seedling 5.4. S QUAD: huge land crab hole, 5 maho seedlings (tallest 4.9).     deer tracks all over. "
2022,10/28/2021,Francis Bay,A,South,0,0,,0,,none,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,"N QUAD: 1 maho seedling 5.4. S QUAD: huge land crab hole, 5 maho seedlings (tallest 4.9).     deer tracks all over. "
2022,10/28/2021,Francis Bay,A,West,0,22.3,LARA,0,,none,0,0,0,0,0,0,5,5,2,0,0,0,0,0,0,0,"N QUAD: 1 maho seedling 5.4. S QUAD: huge land crab hole, 5 maho seedlings (tallest 4.9).     deer tracks all over. "
2022,10/28/2021,Francis Bay,B,East,0,8.5,LARA,0,,none,0,0,0,0,0,11,85,96,13,0,0,0,0,0,0,0,
2022,10/28/2021,Francis Bay,B,North,0,0,,0,,none,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,
2022,10/28/2021,Francis Bay,B,South,0,2.9,LARA,0,,none,0,0,0,0,0,1,50,51,1,0,0,0,0,0,0,0,
2022,10/28/2021,Francis Bay,B,West,0,0,,0,,none,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,
2022,10/28/2021,Francis Bay,C,East,2.9,0,,0,,none,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,W QUAD: unknown prop with roots
2022,10/28/2021,Francis Bay,C,North,0,0,,0,,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W QUAD: unknown prop with roots
2022,10/28/2021,Francis Bay,C,South,1.7,0,,0,,none,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,W QUAD: unknown prop with roots
2022,10/28/2021,Francis Bay,C,West,1,0,,0,,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W QUAD: unknown prop with roots
2022,11/15/2021,Great Pond,A,East,0,45,AVGE,129,RHMA,none,0,0,0,0,5,0,0,0,0,0,0,0,0,1,3,8,
2022,11/15/2021,Great Pond,A,North,0,48.5,RHMA,193,RHMA,none,0,0,0,111,10,0,0,0,0,0,0,0,0,0,0,10,
2022,11/15/2021,Great Pond,A,South,0,0,,0,,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022,11/15/2021,Great Pond,A,West,0,0,,0,,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022,11/15/2021,Great Pond,B,East,0,0,,0,,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022,11/15/2021,Great Pond,B,North,0,0,,0,,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022,11/15/2021,Great Pond,B,South,0,0,,0,,little,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022,11/15/2021,Great Pond,B,West,0,0,,0,,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2022,11/15/2021,Great Pond,C,East,0,0,,0,,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All dead blacks in plot
2022,11/15/2021,Great Pond,C,North,0,0,,0,,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All dead blacks in plot
2022,11/15/2021,Great Pond,C,South,0,0,,0,,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All dead blacks in plot
2022,11/15/2021,Great Pond,C,West,0,0,,0,,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All dead blacks in plot
2022,11/17/2021,Krause Lagoon,A,East,19,40,RHMA,340,RHMA,little,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,4,Sargassum
2022,11/17/2021,Krause Lagoon,A,North,6,20.5,RHMA,300,RHMA,lots,10,0,10,4,7,1,0,1,5,0,1,0,1,0,0,7,Sargassum
2022,11/17/2021,Krause Lagoon,A,South,1.3,45,RHMA,400,RHMA,moderate,3,0,3,3,12,0,0,0,0,0,0,0,0,0,0,12,Sargassum
2022,11/17/2021,Krause Lagoon,A,West,6,38,RHMA,262,RHMA,moderate,1,3,4,1,19,0,0,0,0,0,0,0,0,0,0,19,Sargassum
2022,11/17/2021,Krause Lagoon,B,East,24,0,,136,RHMA,none,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,4,W QUAD: opening filled with dead RHMA
2022,11/17/2021,Krause Lagoon,B,North,25,0,,66,RHMA,none,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,W QUAD: opening filled with dead RHMA
2022,11/17/2021,Krause Lagoon,B,South,30,0,,400,RHMA,none,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,4,W QUAD: opening filled with dead RHMA
2022,11/17/2021,Krause Lagoon,B,West,36,0,,0,,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W QUAD: opening filled with dead RHMA
2022,11/17/2021,Krause Lagoon,C,East,28,0,,0,,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,on fringe
2022,11/17/2021,Krause Lagoon,C,North,33,0,,0,,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,on fringe
2022,11/17/2021,Krause Lagoon,C,South,40,0,,0,,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,on fringe
2022,11/17/2021,Krause Lagoon,C,West,47,0,,0,,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,on fringe
2022,10/26/2021,Lameshur Bay,A,East,14.4,27.5,AVGE,0,,none,0,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,
2022,10/26/2021,Lameshur Bay,A,North,13.5,0,,0,,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
