SY,Date,Site,Plot,Quadrat,Species,Height_cm,Height_m,DBH_cm,Mortality,Notes
2022,9/20/2021,Brewers Bay,A,West,LARA,,,0.95,alive,height not recorded
2022,9/20/2021,Brewers Bay,A,West,LARA,,,0.9,alive,height not recorded
2022,9/21/2021,Brewers Bay,C,East,RHMA,129,1.290,0.747,alive,
2022,9/21/2021,Brewers Bay,C,East,RHMA,174,1.740,0.555,alive,
2022,9/21/2021,Brewers Bay,C,East,RHMA,114,1.140,0.719,alive,
2022,9/21/2021,Brewers Bay,C,East,RHMA,108.5,1.085,0.589,alive,
2022,9/21/2021,Brewers Bay,C,North,RHMA,53,0.530,0.472,alive,
2022,9/21/2021,Brewers Bay,C,North,RHMA,59.4,0.594,0.492,alive,
2022,9/21/2021,Brewers Bay,C,North,RHMA,61,0.610,0.499,alive,
2022,9/21/2021,Brewers Bay,C,North,RHMA,58.5,0.585,0.523,alive,
2022,9/21/2021,Brewers Bay,C,North,RHMA,58.4,0.584,0.423,alive,
2022,9/21/2021,Brewers Bay,C,North,RHMA,63.2,0.632,0.654,alive,
2022,9/21/2021,Brewers Bay,C,North,RHMA,62.2,0.622,0.507,alive,
2022,9/21/2021,Brewers Bay,C,North,RHMA,79.3,0.793,0.429,alive,
2022,9/21/2021,Brewers Bay,C,North,RHMA,55.8,0.558,0.506,alive,
2022,9/21/2021,Brewers Bay,C,North,RHMA,53.9,0.539,0.452,alive,
2022,9/21/2021,Brewers Bay,C,South,RHMA,73.9,0.739,0.595,alive,
2022,9/21/2021,Brewers Bay,C,South,RHMA,77.9,0.779,0.559,alive,
2022,9/21/2021,Brewers Bay,C,South,RHMA,74.8,0.748,0.572,alive,
2022,9/21/2021,Brewers Bay,C,South,RHMA,233,2.330,0.803,alive,
2022,9/21/2021,Brewers Bay,C,South,RHMA,81.1,0.811,0.649,alive,
2022,9/21/2021,Brewers Bay,C,South,RHMA,74.9,0.749,0.57,alive,
2022,9/21/2021,Brewers Bay,C,South,RHMA,139,1.390,1.1,alive,
2022,9/21/2021,Brewers Bay,C,South,RHMA,75.5,0.755,0.675,alive,
2022,9/21/2021,Brewers Bay,C,South,RHMA,78.6,0.786,0.555,alive,
2022,9/21/2021,Brewers Bay,C,South,RHMA,62.5,0.625,0.559,alive,
2022,9/21/2021,Brewers Bay,C,West,RHMA,65,0.650,0.443,alive,
2022,9/21/2021,Brewers Bay,C,West,RHMA,70.8,0.708,0.511,alive,
2022,9/21/2021,Brewers Bay,C,West,RHMA,84.5,0.845,0.738,alive,
2022,9/21/2021,Brewers Bay,C,West,RHMA,54.3,0.543,0.462,alive,
2022,9/21/2021,Brewers Bay,C,West,RHMA,61,0.610,0.433,alive,
2022,9/21/2021,Brewers Bay,C,West,RHMA,67.8,0.678,0.419,alive,
2022,9/21/2021,Brewers Bay,C,West,RHMA,67.4,0.674,0.567,alive,
2022,9/21/2021,Brewers Bay,C,West,RHMA,69.5,0.695,0.561,alive,
2022,9/21/2021,Brewers Bay,C,West,RHMA,72.5,0.725,0.542,alive,
2022,9/21/2021,Brewers Bay,C,West,RHMA,91.4,0.914,0.604,alive,
2022,9/21/2021,Brewers Bay,C,West,RHMA,102.3,1.023,0.719,alive,
2022,9/21/2021,Brewers Bay,C,West,RHMA,83.9,0.839,0.536,alive,
2022,9/21/2021,Brewers Bay,C,West,RHMA,59.7,0.597,0.436,alive,
2022,9/21/2021,Brewers Bay,C,West,RHMA,70.8,0.708,0.546,alive,
2022,9/21/2021,Brewers Bay,C,West,RHMA,66.1,0.661,0.529,alive,
2022,9/21/2021,Brewers Bay,C,West,RHMA,67.4,0.674,0.637,alive,
2022,9/21/2021,Brewers Bay,C,West,RHMA,67.5,0.675,0.568,alive,
2022,9/21/2021,Brewers Bay,C,West,RHMA,77,0.770,0.519,alive,
2022,9/21/2021,Brewers Bay,C,West,RHMA,66.5,0.665,0.504,alive,
2022,10/14/2021,Compass Point,A,East,RHMA,74.6,0.746,1.066,alive,
2022,10/14/2021,Compass Point,A,East,RHMA,52.1,0.521,0.869,alive,
2022,10/14/2021,Compass Point,A,East,RHMA,74.8,0.748,1.218,alive,
2022,10/14/2021,Compass Point,A,East,RHMA,68.9,0.689,0.778,alive,
2022,10/14/2021,Compass Point,A,East,RHMA,67.7,0.677,1.162,alive,
2022,10/14/2021,Compass Point,A,East,RHMA,81.6,0.816,1.095,alive,
2022,10/14/2021,Compass Point,A,North,RHMA,300,3.000,1.491,alive,
2022,10/14/2021,Compass Point,A,North,RHMA,181,1.810,0.405,alive,
2022,10/14/2021,Compass Point,A,North,RHMA,203.1,2.031,0.8,alive,
2022,10/14/2021,Compass Point,A,South,RHMA,62.1,0.621,0.84,alive,
2022,10/14/2021,Compass Point,A,South,RHMA,135.8,1.358,1.05,alive,
2022,10/14/2021,Compass Point,A,South,RHMA,175.2,1.752,1.197,alive,
2022,10/14/2021,Compass Point,A,South,RHMA,107.3,1.073,0.671,alive,
2022,10/14/2021,Compass Point,A,South,RHMA,84.3,0.843,0.815,alive,
2022,10/14/2021,Compass Point,A,South,RHMA,94.3,0.943,0.693,alive,
2022,10/14/2021,Compass Point,A,South,RHMA,120.5,1.205,1.348,alive,
2022,10/14/2021,Compass Point,A,South,RHMA,54.5,0.545,0.97,alive,
2022,10/14/2021,Compass Point,A,South,RHMA,84,0.840,1.969,alive,
2022,10/14/2021,Compass Point,A,South,RHMA,57.4,0.574,1.214,alive,
2022,10/14/2021,Compass Point,A,West,RHMA,91.4,0.914,1.343,alive,
2022,10/14/2021,Compass Point,A,West,RHMA,110.9,1.109,1.262,alive,
2022,10/14/2021,Compass Point,A,West,RHMA,123.9,1.239,0.889,alive,
2022,10/14/2021,Compass Point,A,West,RHMA,88.1,0.881,1.056,alive,
2022,10/14/2021,Compass Point,A,West,RHMA,59.4,0.594,1.21,alive,
2022,10/14/2021,Compass Point,A,West,RHMA,59.5,0.595,1.214,alive,
2022,10/14/2021,Compass Point,A,West,RHMA,79.9,0.799,1.29,alive,
2022,10/14/2021,Compass Point,A,West,RHMA,75.4,0.754,1.064,alive,
2022,10/14/2021,Compass Point,B,East,RHMA,102.5,1.025,1.4,alive,
2022,10/14/2021,Compass Point,B,South,RHMA,78.8,0.788,1.3,alive,
2022,10/14/2021,Compass Point,B,South,RHMA,128,1.280,1.4,alive,
2022,10/14/2021,Compass Point,B,South,RHMA,79,0.790,1.5,alive,
2022,10/14/2021,Compass Point,B,South,RHMA,108,1.080,1.28,alive,
2022,10/14/2021,Compass Point,B,South,RHMA,156.9,1.569,0.5,alive,
2022,10/14/2021,Compass Point,B,South,RHMA,51.9,0.519,0.9,alive,
2022,10/14/2021,Compass Point,B,South,RHMA,74.2,0.742,0.9,alive,
2022,10/14/2021,Compass Point,B,South,RHMA,83.6,0.836,1.2,alive,
2022,10/14/2021,Compass Point,B,South,RHMA,130.5,1.305,1,alive,
2022,10/14/2021,Compass Point,C,East,AVGE,155,1.550,0.4,alive,TRUE
2022,10/14/2021,Compass Point,C,East,AVGE,67,0.670,2.1,alive,
2022,10/14/2021,Compass Point,C,East,AVGE,150,1.500,0.3,alive,true DBH
2022,10/14/2021,Compass Point,C,East,AVGE,183,1.830,0.7,alive,true DBH
2022,10/14/2021,Compass Point,C,East,AVGE,78,0.780,1.1,alive,
2022,10/14/2021,Compass Point,C,East,AVGE,85,0.850,1.2,alive,
2022,10/14/2021,Compass Point,C,East,LARA,82,0.820,1.1,alive,
2022,10/14/2021,Compass Point,C,East,LARA,99,0.990,1.3,alive,
2022,10/14/2021,Compass Point,C,North,AVGE,79.5,0.795,0.1,alive,
2022,10/14/2021,Compass Point,C,South,AVGE,125.2,1.252,2.3,alive,
2022,10/14/2021,Compass Point,C,South,AVGE,142,1.420,0.3,alive,
2022,10/28/2021,Francis Bay,C,East,LARA,225,2.250,2.4,dead,dead white
2022,11/15/2021,Great Pond,A,East,AVGE,91.5,0.915,2.56,alive,Herbivory
2022,11/15/2021,Great Pond,A,East,AVGE,73,0.730,1.16,alive,Herbivory
2022,11/15/2021,Great Pond,A,East,AVGE,73.5,0.735,0.98,alive,Herbivory
2022,11/15/2021,Great Pond,A,East,RHMA,69,0.690,1.69,alive,
2022,11/15/2021,Great Pond,A,East,RHMA,74,0.740,1.95,alive,
2022,11/15/2021,Great Pond,A,East,RHMA,52,0.520,1.55,alive,
2022,11/15/2021,Great Pond,A,East,RHMA,129,1.290,1.98,alive,
2022,11/15/2021,Great Pond,A,East,RHMA,61.4,0.614,1.65,alive,
2022,11/15/2021,Great Pond,A,North,RHMA,53,0.530,1.55,alive,
2022,11/15/2021,Great Pond,A,North,RHMA,87.1,0.871,1.87,alive,
2022,11/15/2021,Great Pond,A,North,RHMA,94.5,0.945,1.8,alive,
2022,11/15/2021,Great Pond,A,North,RHMA,149.4,1.494,0.77,alive,tree (true?) DBH: 0.77
2022,11/15/2021,Great Pond,A,North,RHMA,193,1.930,1.01,alive,
2022,11/15/2021,Great Pond,A,North,RHMA,95.5,0.955,1.22,alive,
2022,11/15/2021,Great Pond,A,North,RHMA,155.5,1.555,0.46,alive,tree (true?) DBH: 0.46
2022,11/15/2021,Great Pond,A,North,RHMA,112.4,1.124,1.32,alive,
2022,11/15/2021,Great Pond,A,North,RHMA,182.5,1.825,1.18,alive,
2022,11/15/2021,Great Pond,A,North,RHMA,154.4,1.544,1.73,alive,
2022,11/17/2021,Krause Lagoon,A,East,RHMA,340,3.400,1.6,alive,
2022,11/17/2021,Krause Lagoon,A,East,RHMA,290,2.900,1.6,alive,
2022,11/17/2021,Krause Lagoon,A,East,RHMA,240,2.400,1.6,alive,
2022,11/17/2021,Krause Lagoon,A,East,RHMA,263,2.630,1.1,alive,
2022,11/17/2021,Krause Lagoon,A,North,RHMA,285,2.850,1.6,alive,
2022,11/17/2021,Krause Lagoon,A,North,RHMA,300,3.000,1.8,alive,
2022,11/17/2021,Krause Lagoon,A,North,RHMA,300,3.000,2,alive,
2022,11/17/2021,Krause Lagoon,A,North,RHMA,295,2.950,1.6,alive,
2022,11/17/2021,Krause Lagoon,A,North,RHMA,235,2.350,0.9,alive,
2022,11/17/2021,Krause Lagoon,A,North,RHMA,204,2.040,0.7,alive,
2022,11/17/2021,Krause Lagoon,A,North,RHMA,300,3.000,1.2,alive,
2022,11/17/2021,Krause Lagoon,A,South,RHMA,241,2.410,0.9,alive,
2022,11/17/2021,Krause Lagoon,A,South,RHMA,265,2.650,0.9,alive,
2022,11/17/2021,Krause Lagoon,A,South,RHMA,92,0.920,0.8,alive,
2022,11/17/2021,Krause Lagoon,A,South,RHMA,163,1.630,0.5,alive,
2022,11/17/2021,Krause Lagoon,A,South,RHMA,300,3.000,1.2,alive,
2022,11/17/2021,Krause Lagoon,A,South,RHMA,176,1.760,0.6,alive,
2022,11/17/2021,Krause Lagoon,A,South,RHMA,400,4.000,1.7,alive,
2022,11/17/2021,Krause Lagoon,A,South,RHMA,189,1.890,0.9,alive,
2022,11/17/2021,Krause Lagoon,A,South,RHMA,400,4.000,1.5,alive,
2022,11/17/2021,Krause Lagoon,A,South,RHMA,180,1.800,0.8,alive,
2022,11/17/2021,Krause Lagoon,A,South,RHMA,158,1.580,0.4,alive,
2022,11/17/2021,Krause Lagoon,A,South,RHMA,102,1.020,1.8,alive,
2022,11/17/2021,Krause Lagoon,A,West,RHMA,201,2.010,1.4,alive,
2022,11/17/2021,Krause Lagoon,A,West,RHMA,225,2.250,0.9,alive,
2022,11/17/2021,Krause Lagoon,A,West,RHMA,94.3,0.943,1.1,alive,
2022,11/17/2021,Krause Lagoon,A,West,RHMA,185,1.850,0.7,alive,
2022,11/17/2021,Krause Lagoon,A,West,RHMA,213,2.130,0.8,alive,
2022,11/17/2021,Krause Lagoon,A,West,RHMA,177,1.770,0.6,alive,
2022,11/17/2021,Krause Lagoon,A,West,RHMA,205,2.050,0.7,alive,
2022,11/17/2021,Krause Lagoon,A,West,RHMA,262,2.620,1.1,alive,
2022,11/17/2021,Krause Lagoon,A,West,RHMA,200,2.000,0.6,alive,
2022,11/17/2021,Krause Lagoon,A,West,RHMA,196,1.960,0.8,alive,
2022,11/17/2021,Krause Lagoon,A,West,RHMA,205,2.050,0.7,alive,
2022,11/17/2021,Krause Lagoon,A,West,RHMA,205,2.050,0.6,alive,
2022,11/17/2021,Krause Lagoon,A,West,RHMA,202,2.020,0.5,alive,
2022,11/17/2021,Krause Lagoon,A,West,RHMA,206,2.060,0.7,alive,
2022,11/17/2021,Krause Lagoon,A,West,RHMA,220,2.200,0.7,alive,
2022,11/17/2021,Krause Lagoon,A,West,RHMA,247,2.470,1,alive,
2022,11/17/2021,Krause Lagoon,A,West,RHMA,195,1.950,0.5,alive,
2022,11/17/2021,Krause Lagoon,A,West,RHMA,221,2.210,0.8,alive,
2022,11/17/2021,Krause Lagoon,A,West,RHMA,213,2.130,0.7,alive,
2022,11/17/2021,Krause Lagoon,B,East,RHMA,75,0.750,1.2,alive,
2022,11/17/2021,Krause Lagoon,B,East,RHMA,136,1.360,1.2,alive,
2022,11/17/2021,Krause Lagoon,B,East,RHMA,66,0.660,2.1,alive,
2022,11/17/2021,Krause Lagoon,B,East,RHMA,66,0.660,1.4,alive,
2022,11/17/2021,Krause Lagoon,B,North,RHMA,63,0.630,1.4,alive,
2022,11/17/2021,Krause Lagoon,B,South,RHMA,139,1.390,2.1,alive,
2022,11/17/2021,Krause Lagoon,B,South,RHMA,265,2.650,1.1,alive,
2022,11/17/2021,Krause Lagoon,B,South,RHMA,400,4.000,2,alive,
2022,11/17/2021,Krause Lagoon,B,South,RHMA,145,1.450,0.9,alive,
2022,10/26/2021,Lameshur Bay,C,South,AVGE,105,1.050,1.47,alive,heavy Herbivory
2022,10/26/2021,Lameshur Bay,C,South,AVGE,97,0.970,1.32,alive,
2022,10/26/2021,Lameshur Bay,C,West,AVGE,142,1.420,0.2,alive,Herbivory
2022,10/26/2021,Lameshur Bay,C,West,AVGE,115,1.150,1.29,alive,
2022,10/26/2021,Lameshur Bay,C,West,AVGE,85,0.850,0.95,alive,Herbivory
2022,10/26/2021,Lameshur Bay,C,West,AVGE,76,0.760,0.66,alive,
2022,10/26/2021,Lameshur Bay,C,West,AVGE,69,0.690,0.5,alive,
2022,10/22/2021,Magens Bay,A,South,RHMA,90.8,0.908,2.1,alive,
2022,10/22/2021,Magens Bay,A,South,RHMA,179.5,1.795,0.75,alive,
2022,10/22/2021,Magens Bay,A,South,RHMA,136.4,1.364,2.3,alive,
2022,10/22/2021,Magens Bay,A,South,RHMA,160.7,1.607,0.6,alive,
2022,10/22/2021,Magens Bay,A,West,RHMA,400,4.000,1.5,alive,
2022,10/22/2021,Magens Bay,A,West,RHMA,350,3.500,1.6,alive,
2022,10/22/2021,Magens Bay,A,West,RHMA,350,3.500,1.4,alive,
2022,10/22/2021,Magens Bay,A,West,RHMA,300,3.000,1.2,alive,
2022,10/22/2021,Magens Bay,A,West,RHMA,350,3.500,1.6,alive,
2022,10/22/2021,Magens Bay,A,West,RHMA,300,3.000,1.3,alive,
2022,10/22/2021,Magens Bay,A,West,RHMA,200,2.000,0.8,alive,
2022,10/22/2021,Magens Bay,A,West,RHMA,210,2.100,0.7,alive,
2022,10/22/2021,Magens Bay,A,West,RHMA,200,2.000,0.8,alive,
2022,10/22/2021,Magens Bay,A,West,RHMA,130,1.300,1.4,alive,
2022,10/22/2021,Magens Bay,B,East,RHMA,196.8,1.968,0.9,alive,
2022,10/22/2021,Magens Bay,B,East,RHMA,160,1.600,0.6,alive,
2022,10/22/2021,Magens Bay,B,North,RHMA,400,4.000,1.7,alive,measured visually
2022,10/22/2021,Magens Bay,B,North,RHMA,365,3.650,1.6,alive,
2022,10/22/2021,Magens Bay,B,North,RHMA,293,2.930,1.1,alive,75% branched dead
2022,10/22/2021,Magens Bay,B,North,RHMA,227,2.270,1.1,alive,moslty dead
2022,10/22/2021,Magens Bay,B,South,RHMA,246.5,2.465,1.1,alive,
2022,10/22/2021,Magens Bay,B,South,RHMA,375,3.750,2.4,alive,measured visually
2022,10/22/2021,Magens Bay,B,South,RHMA,355,3.550,2.1,alive,
2022,10/22/2021,Magens Bay,B,South,RHMA,410,4.100,2.2,alive,
2022,10/22/2021,Magens Bay,B,South,RHMA,315,3.150,1.25,alive,
2022,10/22/2021,Magens Bay,B,South,RHMA,215,2.150,0.7,alive,
2022,10/22/2021,Magens Bay,B,South,RHMA,230,2.300,0.8,alive,
2022,10/22/2021,Magens Bay,B,South,RHMA,165,1.650,0.5,alive,
2022,10/22/2021,Magens Bay,B,South,RHMA,185,1.850,0.5,alive,
2022,10/22/2021,Magens Bay,B,South,RHMA,180,1.800,1,alive,
2022,11/30/2021,Magens Bay,C,East,RHMA,282,2.820,1.4,alive,
2022,11/30/2021,Magens Bay,C,East,RHMA,178,1.780,1.2,alive,
2022,11/30/2021,Magens Bay,C,East,RHMA,350,3.500,1.8,alive,
2022,11/30/2021,Magens Bay,C,East,RHMA,197,1.970,0.8,alive,
2022,11/30/2021,Magens Bay,C,East,RHMA,340,3.400,1.4,alive,
2022,11/30/2021,Magens Bay,C,North,RHMA,297,2.970,2.3,alive,
2022,11/30/2021,Magens Bay,C,North,RHMA,318,3.180,2.2,alive,
2022,11/30/2021,Magens Bay,C,South,RHMA,156,1.560,0.8,alive,
2022,11/30/2021,Magens Bay,C,South,RHMA,229,2.290,1.5,alive,
2022,11/30/2021,Magens Bay,C,South,RHMA,135,1.350,1,alive,
2022,11/30/2021,Magens Bay,C,South,RHMA,300,3.000,1.2,alive,
2022,11/30/2021,Magens Bay,C,South,RHMA,172,1.720,0.5,alive,
2022,11/30/2021,Magens Bay,C,West,RHMA,355,3.550,1.3,alive,
2022,11/30/2021,Magens Bay,C,West,RHMA,395,3.950,1.6,alive,
2022,11/30/2021,Magens Bay,C,West,RHMA,320,3.200,1.4,alive,
2022,11/30/2021,Magens Bay,C,West,RHMA,305,3.050,1.3,alive,
2022,10/1/2021,Mandahl Bay,A,East,LARA,255,2.550,1,alive,The green highlited section was converted from cm converted on data sheet
2022,10/1/2021,Mandahl Bay,A,East,RHMA,103,1.030,1.9,alive,fattest point
2022,10/1/2021,Mandahl Bay,B,East,LARA,199,1.990,0.5,alive,real DBH
2022,10/1/2021,Mandahl Bay,B,North,LARA,185,1.850,1.5,alive,
2022,10/1/2021,Mandahl Bay,B,North,LARA,125,1.250,1.3,alive,
2022,10/1/2021,Mandahl Bay,B,North,RHMA,78.5,0.785,1,alive,fattest point
2022,10/1/2021,Mandahl Bay,B,North,RHMA,66,0.660,1.6,alive,fattest point
2022,10/1/2021,Mandahl Bay,B,West,LARA,206,2.060,0.8,alive,real DBH
2022,10/1/2021,Mandahl Bay,B,West,LARA,196,1.960,1.2,alive,real DBH
2022,10/1/2021,Mandahl Bay,B,West,LARA,56,0.560,1.1,alive,fattest point
2022,10/1/2021,Mandahl Bay,B,West,LARA,104,1.040,2.3,alive,fattest point
2022,10/1/2021,Mandahl Bay,C,East,LARA,160,1.600,1.4,alive,real DBH
2022,10/1/2021,Mandahl Bay,C,East,LARA,160,1.600,1.2,alive,"has props, tree fall regen?"
2022,9/23/2021,Perseverance Bay,C,South,RHMA,60,0.600,3,alive,
2022,9/23/2021,Perseverance Bay,C,West,RHMA,71,0.710,5.1,alive,
2022,9/23/2021,Perseverance Bay,C,West,RHMA,76.5,0.765,5.8,alive,
2022,10/29/2021,Princess Bay,C,East,LARA,61,0.610,1.45,alive,has IP
2022,10/29/2021,Princess Bay,C,East,LARA,96,0.960,1.85,alive,has MP
2022,10/29/2021,Princess Bay,C,East,LARA,128,1.280,1.95,alive,has IP
2022,10/29/2021,Princess Bay,C,East,LARA,123,1.230,1,alive,has IP / MP
2022,10/29/2021,Princess Bay,C,East,LARA,99,0.990,0.55,alive,
2022,10/29/2021,Princess Bay,C,East,LARA,79,0.790,0.54,alive,
2022,10/29/2021,Princess Bay,C,East,LARA,154,1.540,0.32,alive,has IP / MP
2022,10/29/2021,Princess Bay,C,East,LARA,212,2.120,0.96,alive,
2022,10/29/2021,Princess Bay,C,East,LARA,190,1.900,0.56,alive,
2022,10/29/2021,Princess Bay,C,East,LARA,174,1.740,0.55,alive,has IP
2022,10/29/2021,Princess Bay,C,East,LARA,164,1.640,0.24,alive,has IP / MP
2022,10/29/2021,Princess Bay,C,North,LARA,178,1.780,1.06,alive,flowering
2022,10/29/2021,Princess Bay,C,North,LARA,97,0.970,2.3,alive,
2022,10/29/2021,Princess Bay,C,North,LARA,199.6,1.996,2.56,alive,
2022,10/29/2021,Princess Bay,C,South,RHMA,99.1,0.991,2.68,alive,Herbivory
2022,10/29/2021,Princess Bay,C,South,RHMA,98.4,0.984,2.26,alive,Herbivory
