SY,Date_surveyed,Site,Plot,Tree_num,Tree_Height_m,Tree_Height_method,Tag_num,Species,Notes
2022,8/27/2021,Brewers Bay,A,1,6.7,tree pole,166,LARA,
2022,8/27/2021,Brewers Bay,A,2,5.2,tree pole,,,
2022,8/27/2021,Brewers Bay,A,3,6.1,tree pole,175,LARA,
2022,8/27/2021,Brewers Bay,A,4,6.7,tree pole,163,LARA,
2022,8/27/2021,Brewers Bay,A,5,2.3,tree pole,159,LARA,
2022,9/20/2021,Brewers Bay,B,1,7.0,tree pole,255,LARA,
2022,9/20/2021,Brewers Bay,B,2,7.6,tree pole,193,LARA,
2022,9/20/2021,Brewers Bay,B,3,8.2,tree pole,185,LARA,
2022,9/20/2021,Brewers Bay,B,4,7.6,tree pole,237,LARA,
2022,9/20/2021,Brewers Bay,B,5,6.7,tree pole,,,
2022,9/21/2021,Brewers Bay,C,1,6.7,tree pole,,,
2022,9/21/2021,Brewers Bay,C,2,6.1,tree pole,,,
2022,9/21/2021,Brewers Bay,C,3,7.3,tree pole,,,
2022,9/21/2021,Brewers Bay,C,4,6.1,tree pole,236,RHMA,
2022,9/21/2021,Brewers Bay,C,5,4.9,tree pole,140,LARA,
2022,9/23/2021,Perseverance Bay,A,1,4.6,tree pole,156,LARA,Center tree
2022,9/23/2021,Perseverance Bay,A,2,6.7,tree pole,,,Visual estimates
2022,9/23/2021,Perseverance Bay,A,3,9.1,tree pole,,,
2022,9/23/2021,Perseverance Bay,A,4,9.1,tree pole,,,
2022,9/23/2021,Perseverance Bay,A,5,4.6,tree pole,,,
2022,9/23/2021,Perseverance Bay,B,1,4.6,tree pole,,,"No canopy, all standing trees are dead"
2022,9/23/2021,Perseverance Bay,B,2,4.3,tree pole,,,
2022,9/23/2021,Perseverance Bay,B,3,6.7,tree pole,,,
2022,9/23/2021,Perseverance Bay,B,4,4.3,tree pole,,,
2022,9/23/2021,Perseverance Bay,B,5,6.1,tree pole,,,
2022,9/23/2021,Perseverance Bay,B,6,5.5,tree pole,,,
2022,9/23/2021,Perseverance Bay,B,7,3.7,tree pole,,,
2022,9/23/2021,Perseverance Bay,B,8,5.2,tree pole,,,
2022,9/23/2021,Perseverance Bay,B,9,4.3,tree pole,,,
2022,9/23/2021,Perseverance Bay,C,1,3.7,tree pole,,RHMA,Alive
2022,9/23/2021,Perseverance Bay,C,2,5.2,mean laser,,RHMA,Alive
2022,9/23/2021,Perseverance Bay,C,3,3.0,mean laser,,RHMA,Alive
2022,9/23/2021,Perseverance Bay,C,4,5.2,mean laser,,RHMA,Alive
2022,9/23/2021,Perseverance Bay,C,5,9.9,mean laser,,RHMA,Dead
2022,9/28/2021,Vessup Bay,A,1,4.1,mean laser,,,
2022,9/28/2021,Vessup Bay,A,2,6.2,mean laser,,,
2022,9/28/2021,Vessup Bay,A,3,3.0,mean laser,,,
2022,9/28/2021,Vessup Bay,A,4,3.5,mean laser,,,
2022,9/28/2021,Vessup Bay,A,5,5.4,mean laser,,,
2022,9/28/2021,Vessup Bay,B,1,3.8,mean laser,,,
2022,9/28/2021,Vessup Bay,B,2,4.2,mean laser,,,
2022,9/28/2021,Vessup Bay,B,3,4.9,mean laser,,,
2022,9/28/2021,Vessup Bay,B,4,7.4,mean laser,,,
2022,9/28/2021,Vessup Bay,B,5,2.0,mean laser,,,
2022,9/30/2021,Vessup Bay,C,1,2.0,mean laser,,,
2022,9/30/2021,Vessup Bay,C,2,2.6,mean laser,,,
2022,9/30/2021,Vessup Bay,C,3,2.6,mean laser,,,
2022,9/30/2021,Vessup Bay,C,4,5.0,mean laser,,,
2022,9/30/2021,Vessup Bay,C,5,5.4,mean laser,,,
2022,10/1/2021,Mandahl Bay,A,1,4.8,tree pole,,,
2022,10/1/2021,Mandahl Bay,A,2,4.3,tree pole,,,
2022,10/1/2021,Mandahl Bay,A,3,6.7,tree pole,,,
2022,10/1/2021,Mandahl Bay,A,4,4.0,tree pole,,,
2022,10/1/2021,Mandahl Bay,A,5,4.9,tree pole,,,
2022,10/1/2021,Mandahl Bay,B,1,3.0,tree pole,,RHMA,Center tree
2022,10/1/2021,Mandahl Bay,B,2,5.2,tree pole,,,
2022,10/1/2021,Mandahl Bay,B,3,4.9,tree pole,,,
2022,10/1/2021,Mandahl Bay,B,4,5.2,tree pole,,,
2022,10/1/2021,Mandahl Bay,B,5,5.5,tree pole,,,
2022,10/12/2021,Mandahl Bay,C,1,7.3,mean laser,,,
2022,10/12/2021,Mandahl Bay,C,2,9.8,mean laser,,,
2022,10/12/2021,Mandahl Bay,C,3,3.6,mean laser,,,
2022,10/12/2021,Mandahl Bay,C,4,4.5,mean laser,,,
