SY,Date,Site,Plot,Species,Tag_num,Rep_status,Azimuth_degree,Dist_cm,DBH_cm,Mortality,Health,Condition,Fungus,Termites,Crew,Connect,Notes
2024,6/11/2024,Compass Point,B,RHMA,R702,IP,290,2.97,3.5,Alive,Healthy,H,No,No,,,
2024,7/24/2024,Salt River,B,LARA,R2999,NF,35,4.74,3.9,Alive,Unhealthy,U,No,No,"DG, JS, JC",,
2024,7/24/2024,Salt River,B,THPO,R2998,NF,360,4.51,4,Alive,Healthy,H,No,No,"DG, JS, JC",,fruits
2024,7/24/2024,Salt River,C,RHMA ,R2998,"IP, MP",40,4.67,7.4,Alive,Healthy,H,No,Yes,"DG, KWG",,termite nest
2024,7/24/2024,Salt River,A,LARA,R2996,"IP, MP",214,2.72,2.5,Alive,Healthy,H,No,No,,,
2024,7/24/2024,Salt River,A,LARA,R2995,"IP, MP",70,,2.5,Alive,Healthy,H,No,No,AND,,
2024,7/24/2024,Salt River,B,LARA,R2995,NF,48,2.77,2.7,Alive,Healthy,H,No,No,,,
2024,7/24/2024,Salt River,A,LARA,R2994,"IP, MP",165,3.02,3.8,Alive,Healthy,H,No,No,,R-0990,
2024,7/24/2024,Salt River,C,LARA,R2993,"IP, MP",205,5.29,2.9,Alive,Healthy,H,No,No,"DG, KWG",,
2024,7/24/2024,Salt River,C,LARA,R2990,"IP, MP",181,1.85,3.2,Alive,Healthy,H,No,No,AND,,
2022,9/20/2021,Brewers Bay,A,LARA,134,NF,110,338,5.8,Dead,Dead,DT,No,Yes,,,
2024,7/24/2024,Salt River,C,LARA,R2987,"IP, MP",160,2.93,3.6,Alive,Healthy,H,No,No,"DG, KWG",R-2988,
2024,7/24/2024,Salt River,C,LARA,R2986,"IP, MP",210,2.26,5.5,Alive,Healthy,H,No,No,"DG, KWG",,
2024,7/24/2024,Salt River,C,LARA,R2985,"IP, MP",153,2.24,8.5,Alive,Healthy,H,No,No,"DG, KWG",R-2982,
2024,7/24/2024,Salt River,C,LARA,R2982,"IP, MP",150,2.27,6.3,Alive,Healthy,H,No,No,"DG, KWG",R-2985,
2024,7/24/2024,Salt River,C,LARA,R2980,"IP, MP",160,2.98,3.2,Alive,Healthy,H,No,No,"DG, KWG",R-2985,
2024,7/23/2024,Krause Lagoon,A,RHMA ,R2979,"F, IP, MP",315,3.43,2.8,Alive,Healthy,H,No,No,"JC, KG, SM, DG",,
2024,7/24/2024,Salt River,B,THPO,R2978,NF,360,4.14,8,Alive,Healthy,H,No,No,"DG, JS, JC",,fruits
2024,7/24/2024,Salt River,B,RHMA ,R2977,NF,345,5.51,8.2,Alive,Healthy,H,No,No,"DG, JS, JC",,
2024,7/24/2024,Salt River,A,COER,R2976,"IP, MP",12,4.31,2.7,Alive,Healthy,H,No,No,"JC, KG, DG, JS",,fruits
2024,7/24/2024,Salt River,A,LARA,R2972,"IP, MP",170,5.53,3.8,Alive,Healthy,H,No,No,AND,,
2024,7/24/2024,Salt River,A,LARA,R2971,"IP, MP",180,4.68,2.6,Alive,Healthy,H,No,No,,,
2024,7/24/2024,Salt River,A,LARA,R2970,"IP, MP",165,4.85,3,Alive,Healthy,H,No,No,AND,,
2024,7/24/2024,Salt River,C,RHMA ,R2969,"F, IP, MP",215,3.17,8.5,Alive,Healthy,H,No,No,"DG, KWG",,
2024,7/24/2024,Salt River,C,LARA,R2968,"IP, MP",180,2.66,8,Alive,Healthy,H,No,Yes,"DG, KWG",,
2024,7/24/2024,Salt River,C,RHMA ,R2967,"IP, MP",200,5.32,6,Alive,Healthy,H,No,Yes,"DG, KWG",,
2024,7/24/2024,Salt River,C,RHMA ,R2966,"IP, MP",220,4.4,10.8,Alive,Healthy,H,No,No,"DG, KWG",,
2024,7/24/2024,Salt River,C,RHMA ,R2965,"IP, MP",200,5.5,4,Alive,Healthy,H,No,No,"DG, KWG",,
2024,7/24/2024,Salt River,A,LARA,R2964,"IP, MP",195,4.88,2.6,Alive,Healthy,H,No,No,,,
2024,8/9/2024,Mary Creek,C,LARA,R2963,NF,322,3.56,2.5,Alive,Unhealthy,U,No,Yes,"SM,AD,KR,JH",,
2024,7/24/2024,Salt River,A,LARA,R2962,"IP, MP",165,1.89,3.3,Alive,Healthy,H,No,No,,,
2024,7/24/2024,Salt River,C,LARA,R2961,"IP, MP",185,3.85,5.2,Alive,Healthy,H,No,Yes,"DG, KWG",,
2024,7/24/2024,Salt River,C,RHMA ,R2960,"IP, MP",210,3.09,8.8,Alive,Healthy,H,No,Yes,"DG, KWG",R-2922,
2024,7/24/2024,Salt River,C,LARA,R2959,,250,3.39,3.5,Alive,Healthy,H,No,No,"DG, KWG",,
2024,7/24/2024,Salt River,C,ACTO,R2957,,158,3.98,2.5,Alive,Healthy,H,No,Yes,AND,"R-2081, R-1251, R-0727",
