Island,Site,Plot,SY,Date_Survey,Pore_water,Inside_plot,Survey_start,Survey_end,Personnel,Water_depth,Temp,DO_percent,DO_mg_L,Salinity_ppt,SPC,TDS,pH,Syringe_used,Notes,water_depth_below_zero,Salinity_ppt_above_70ppt,TDS_above_70ppt
St Thomas,Brewers Bay,A,2022,8/27/2021,no,yes,9:15,NA,"KWG, AND, HAS, AJH",6,28.6,15,0.93,33.15,50687,32.965,NA,No,,-3,96.54,
St Thomas,Brewers Bay,A,2022,9/21/2021,No,yes,9:15,NA,"KWG, AND, HAS, AJH",9,28.3,19.4,1.24,33.38,50998,33.15,NA,No,,-2.9,96.49,
St Thomas,Brewers Bay,A,2022,8/27/2021,No,yes,9:15,NA,"KWG, AND, HAS, AJH",22,29.4,29.2,1.84,33.85,51650,33.64,NA,No,,-2.5,96.1,
St Thomas,Brewers Bay,B,2022,9/20/2021,yes,yes,9:54,NA,"KWG, AND, HAS, AJH",1,27.6,85.5,6.4,8.46,14582,9567,NA,Yes,"Over 30 red saplings in plot not captured by regeneration subplots, lots of white and some red propagules on the ground, lots of Herbivory on the white mangrove leaves",-2,94.99,
St Thomas,Brewers Bay,B,2022,9/20/2021,no,yes,9:54,NA,"KWG, AND, HAS, AJH",4,28.3,42.7,2.81,28.96,43740,28340,NA,No,"Over 30 red saplings in plot not captured by regeneration subplots, lots of white and some red propagules on the ground, lots of Herbivory on the white mangrove leaves",,75.83,
St Thomas,Brewers Bay,B,2022,9/20/2021,No,No,9:54,NA,"KWG, AND, HAS, AJH",8,29.2,40.1,2.56,30.15,46801,29277,NA,No,"Over 30 red saplings in plot not captured by regeneration subplots, lots of white and some red propagules on the ground, lots of Herbivory on the white mangrove leaves",,71.75,
St Thomas,Brewers Bay,C,2022,9/21/2021,yes,yes,12:15,NA,"KWG, AND, HAS, AJH",1,28.8,88,6.29,13.41,22328,14763,NA,Yes,Red and white propagules on the ground,-1.5,87.96,
St Thomas,Brewers Bay,C,2022,9/21/2021,yes,yes,12:15,NA,"KWG, AND, HAS, AJH",0,28.4,73,4.81,28.71,44547,28995,NA,Yes,Red and white propagules on the ground,,72.43,
St Thomas,Brewers Bay,C,2022,9/21/2021,no,yes,12:15,NA,"KWG, AND, HAS, AJH",5,28.9,32.7,2.69,29.41,45523,29716,NA,No,Red and white propagules on the ground,,70.7,
St Thomas,Compass Point,A,2022,10/14/2021,yes,yes,9:47,NA,"HAS, KWG, AND, LU, LP, KH",1,28,7.5,4.73,29.6,45948,29827,NA,Yes,,,,
St Thomas,Compass Point,A,2022,10/14/2021,yes,yes,9:47,NA,"HAS, KWG, AND, LU, LP, KH",2,28.2,81.9,5.34,31.6,47833,31069,NA,Yes,,,,
St Thomas,Compass Point,A,2022,10/14/2021,yes,yes,9:47,NA,"HAS, KWG, AND, LU, LP, KH",2,28.4,86,5.6,31.3,47945,31128,NA,Yes,,,,
St Thomas,Compass Point,B,2022,10/14/2021,yes,yes,12:35,NA,"HAS, KWG, AND, LU, LP, KH",4.2,37,130.3,7.88,20.39,33015,21487,NA,Yes,,,,
St Thomas,Compass Point,B,2022,10/14/2021,yes,yes,12:35,NA,"HAS, KWG, AND, LU, LP, KH",4.5,33.2,36.3,2.28,22.45,35915,23345,NA,Yes,,,,
St Thomas,Compass Point,B,2022,10/14/2021,yes,yes,12:35,NA,"HAS, KWG, AND, LU, LP, KH",5.7,37.1,108.4,6.38,23.64,37645,24729,NA,Yes,,,,
St Thomas,Compass Point,C,2022,10/14/2021,yes,yes,14:05,NA,"HAS, KWG, AND, LU, LP, KH",9.1,35.6,53.1,3.17,20.5,31395,20131,NA,No,Lots of AVGE saplings,,,
St Thomas,Compass Point,C,2022,10/14/2021,yes,yes,14:05,NA,"HAS, KWG, AND, LU, LP, KH",10,33.8,53.8,3.37,21.92,35155,22859,NA,Yes,Lots of AVGE saplings,,,
St Thomas,Compass Point,C,2022,10/14/2021,yes,yes,14:05,NA,"HAS, KWG, AND, LU, LP, KH",8,32.5,76.1,4.81,22.99,36558,23798,NA,Yes,Lots of AVGE saplings,,,
St John,Francis Bay,A,2022,10/28/2021,No,No,11:21,NA,"HAS, AND, LU, LP, KWG, VB",5,30,82.2,6.26,0.01,12.8,8,NA,Yes,Water quality measurements taken outside of the plot,,,
St John,Francis Bay,A,2022,10/28/2021,No,No,11:21,NA,"HAS, AND, LU, LP, KWG, VB",7.3,30.1,57.2,3.22,52.82,76330,49637,NA,Yes,Water quality measurements taken outside of the plot,,,
St John,Francis Bay,A,2022,10/28/2021,No,No,11:21,NA,"HAS, AND, LU, LP, KWG, VB",8.7,31.2,79.3,4.4,53.09,76764,49904,NA,Yes,Water quality measurements taken outside of the plot,,,
St John,Francis Bay,B,2022,10/28/2021,No,No,10:05,NA,"HAS, AND, LU, LP, KWG, VB",5.8,31.1,100.3,5.65,51.17,74358,48350,NA,Yes,,,,
St John,Francis Bay,B,2022,10/28/2021,No,No,10:05,NA,"HAS, AND, LU, LP, KWG, VB",7.5,30.7,90,5.04,52.57,76140,49482,NA,Yes,,,,
St John,Francis Bay,B,2022,10/28/2021,No,No,10:05,NA,"HAS, AND, LU, LP, KWG, VB",6.4,29.1,66.5,3.79,52.77,76267,49572,NA,Yes,,,,
